ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,VEGA,Yolanda,Reason Australia,1,313,Transfer,
A,2,MILLWARD,Harry,Reason Australia,1,148,Transfer,
B,1,RICHARDSON,Damien,,1,264,Transfer,
B,2,McBRIDE,John,,1,66,Transfer,
C,1,GREEN,Leonie,Australian Democrats,1,307,Transfer,
C,2,JAGOE,Stephen Peter,Australian Democrats,1,99,Transfer,
D,1,HENDERSON,Sarah,Liberal,0.554119657170299,0,Elected,
D,2,McKENZIE,Bridget,The Nationals,0.193011475087545,1,Elected,
D,3,MIRABELLA,Greg,Liberal,1,355,Transfer,
D,4,KMETJ,Chrestyna,Liberal,1,169,Transfer,
D,5,HARRINGTON,Mick,The Nationals,1,189,Transfer,
D,6,BURGESS,David,Liberal,1,219,Transfer,
E,1,SMITH,Elissa,Legalise Cannabis Australia,1,343,Transfer,
E,2,TAYLOR,Wayne,Legalise Cannabis Australia,1,157,Transfer,
F,1,WEARNE,Madeleine,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,289,Transfer,
F,2,LONG,Robert,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,79,Transfer,
G,1,BURSON,Chris,Australian Values Party,1,269,Transfer,
G,2,ASSER,Samantha,Australian Values Party,1,52,Transfer,
H,1,HINCH,Derryn,Derryn Hinch's Justice Party,1,325,Transfer,
H,2,STANFIELD,Ruth,Derryn Hinch's Justice Party,1,29,Transfer,
I,1,CURRIE,Bronwyn,Animal Justice Party,1,331,Transfer,
I,2,DELFORCE,Chris,Animal Justice Party,1,119,Transfer,
J,1,PITT,Antoinette,Australian Progressives,1,239,Transfer,
J,2,KNIGHT,David,Australian Progressives,1,39,Transfer,
K,1,WHITE,Linda,Australian Labor Party,0.541669395149848,0,Elected,
K,2,STEWART,Jana,Australian Labor Party,0.152798425817585,2,Elected,
K,3,NUNN,Casey,Australian Labor Party,0,1000,Bag,
K,4,BRIDGER-DARLING,Megan,Australian Labor Party,1,214,Transfer,
K,5,McFARLANE,Josh,Australian Labor Party,1,234,Transfer,
L,1,BABET,Ralph,United Australia Party,0,500,Final,
L,2,MORAN,Kelly,United Australia Party,1,194,Transfer,
L,3,GRIMMOND,Kenneth,United Australia Party,1,114,Transfer,
M,1,DANCE,Felix,Socialist Alliance,1,254,Transfer,
M,2,CARR,Angela,Socialist Alliance,1,84,Transfer,
N,1,HUGHES,Vern,Australian Federation Party,1,274,Transfer,
N,2,KIM,Karen,Australian Federation Party,1,104,Transfer,
N,3,LACEY,Cheryl,Australian Federation Party,1,47,Transfer,
N,4,MARA,Chris,Australian Federation Party,1,21,Transfer,
N,5,SEWAK,Neerja,Australian Federation Party,1,7,Transfer,
N,6,O'CONNELL,Mark,Australian Federation Party,1,57,Transfer,
O,1,CONSTANTINOU,Ethan,"Shooters, Fishers and Farmers Party",1,319,Transfer,
O,2,BOURMAN,Nicole,"Shooters, Fishers and Farmers Party",1,138,Transfer,
P,1,PICKERING,Warren,Pauline Hanson's One Nation,1,349,Transfer,
P,2,HUXHAM,Stuart,Pauline Hanson's One Nation,1,124,Transfer,
Q,1,BARWICK,Robbie,Citizens Party,1,244,Transfer,
Q,2,ISHERWOOD,Craig,Citizens Party,1,16,Transfer,
R,1,JONAS,Morgan C,,1,295,Transfer,
R,2,SMIT,Monica,,1,179,Transfer,
S,1,CORDNER HUNT,Kammy,"FUSION: Science, Pirate, Secular, Climate Emergency",1,279,Transfer,
S,2,FARRANT,Tahlia,"FUSION: Science, Pirate, Secular, Climate Emergency",1,89,Transfer,
T,1,BENEDYKA,Susan,,1,229,Transfer,
T,2,RICHARDS,Christine,,1,12,Transfer,
U,1,THORPE,Lidia,The Greens,0.00314248360284564,294,Elected,
U,2,FROGLEY,Adam,The Greens,1,234,Transfer,
U,3,AUSTIN,Sissy,The Greens,1,204,Transfer,
U,4,PAYNE,Zeb,The Greens,1,184,Transfer,
V,1,O'BRYAN,Darryl,The Great Australian Party,1,284,Transfer,
V,2,WHITEHEAD,Geoff,The Great Australian Party,1,34,Transfer,
W,1,LIMBRICK,David,Liberal Democrats,1,337,Transfer,
W,2,MITCHELL,Krystle,Liberal Democrats,1,143,Transfer,
W,3,WHITE,Caroline,Liberal Democrats,1,74,Transfer,
X,1,CLONARIDIS,Nick,Informed Medical Options Party,1,259,Transfer,
X,2,CURNOW,Robyn,Informed Medical Options Party,1,62,Transfer,
Y,1,BYRNE,Peter,,1,167,Transfer,
Y,2,WARDLE,Jason,,1,6,Transfer,
Z,1,MYLVAGANAM,Aran,Victorian Socialists,1,301,Transfer,
Z,2,RICCARDI,Laura,Victorian Socialists,1,129,Transfer,
UG,1,FLOYD,Glenn,Independent,1,209,Transfer,
UG,2,RIDGEWAY,Allen,Independent,1,26,Transfer,
UG,3,BOND,James,Independent,1,153,Transfer,
UG,4,SMITH,Neal,Independent,1,94,Transfer,
UG,5,DICKS,Max,Independent,1,249,Transfer,
UG,6,ATKINSON,Bernardine,Independent,1,134,Transfer,
UG1,1,ROSS,Paul,Independent,1,109,Transfer,
UG1,2,DE FRANCESCO,Nat,Independent,1,71,Transfer,
UG1,3,TOSCANO,Joseph,Independent,1,174,Transfer,
UG1,4,TRAN,Tara,Independent,1,162,Transfer,
UG1,5,DILLON,David John,Independent,1,44,Transfer,
UG1,6,GONSALVEZ,Geraldine Marie Antoinette,Independent,1,199,Transfer,
